work,artistURI,artistName,year_work,year_birth,artist_age,movement
https://artresearch.net/resource/frick/work/991012350519707141,http://vocab.getty.edu/ulan/500024322,Carlo Arienti,1821,1801,20,
https://artresearch.net/resource/frick/work/991008673159707141,http://vocab.getty.edu/ulan/500021866,William Rush,1822,1756,66,
https://artresearch.net/resource/frick/work/991000219949707141,http://vocab.getty.edu/ulan/500009354,Thomas Edwards,1822,1795,27,
https://artresearch.net/resource/frick/work/991008787979707141,http://vocab.getty.edu/ulan/500075944,Henry Willard,1822,1802,20,
https://artresearch.net/resource/frick/work/991002133749707141,http://vocab.getty.edu/ulan/500016923,Samuel Laurence,1822,1812,10,
https://artresearch.net/resource/frick/work/991005272789707141,http://www.wikidata.org/entity/Q97582534,Peter Lehn Grosh,1822,1798,24,
https://artresearch.net/resource/frick/work/991008756509707141,http://vocab.getty.edu/ulan/500032615,Robert Walter Weir,1823,1803,20,Realism
https://artresearch.net/resource/frick/work/991001679659707141,http://vocab.getty.edu/ulan/500020375,Patrick Gibson,1823,1782,41,
https://artresearch.net/resource/frick/work/991005116139707141,http://vocab.getty.edu/ulan/500030473,Friedrich von Amerling,1823,1803,20,
https://artresearch.net/resource/frick/work/991004358709707141,http://vocab.getty.edu/ulan/500115509,Eugène Delacroix,1823,1798,25,Romanticism
https://artresearch.net/resource/frick/work/991013684951607141,http://vocab.getty.edu/ulan/500032615,Robert Walter Weir,1823,1803,20,Realism
https://artresearch.net/resource/frick/work/991004626069707141,http://vocab.getty.edu/ulan/500024376,Prosper Mérimée,1823,1803,20,
https://artresearch.net/resource/frick/work/991004625989707141,http://vocab.getty.edu/ulan/500024376,Prosper Mérimée,1823,1803,20,
https://artresearch.net/resource/frick/work/991007242569707141,http://vocab.getty.edu/ulan/500027085,Charles Fraser,1823,1782,41,
https://artresearch.net/resource/frick/work/991003875939707141,http://www.wikidata.org/entity/Q21985514,George W. Conarroe,1823,1803,20,
https://artresearch.net/resource/frick/work/991013682825607141,http://vocab.getty.edu/ulan/500027085,Charles Fraser,1823,1782,41,
https://artresearch.net/resource/frick/work/991007266409707141,http://vocab.getty.edu/ulan/500021085,Jonathan Fisher,1824,1740,84,
https://artresearch.net/resource/frick/work/991012637809707141,http://vocab.getty.edu/ulan/500016707,Giovanni Carnovali,1824,1804,20,
https://artresearch.net/resource/frick/work/991004057009707141,http://vocab.getty.edu/ulan/500006992,Paul Gavarni,1824,1804,20,
https://artresearch.net/resource/frick/work/991012637929707141,http://vocab.getty.edu/ulan/500016707,Giovanni Carnovali,1824,1804,20,
